Name;Size;Price;Picture;Restaurant;Open Now;Phone:;Latitude;Longitude;Address;Video
Buuz  Set;3-4person ;$10,46;10.jpg;Modern Nomads;10AM-11.30PM;+976 11 31 8744;47.925729;106.915138;47.925729,106.915138;9KMynvKpYPU
Tsuiwan Set;3-4person ;$10,46;11.jpg;Modern Nomads;10AM-11.30PM;+976 11 31 8744;47.925729;106.915138;47.925729,106.915138;9KMynvKpYPU
Jemmy Set;3-4person ;$10,46;12.jpg;Modern Nomads;10AM-11.30PM;+976 11 31 8744;47.925729;106.915138;47.925729,106.915138;9KMynvKpYPU
Horsemeat Set;4-6person;$12,56;13.jpg;Modern Nomads;10AM-11.30PM;+976 11 31 8744;47.925729;106.915138;47.925729,106.915138;9KMynvKpYPU
Beef Set;4-6person;$12,56;14.jpg;Modern Nomads;10AM-11.30PM;+976 11 31 8744;47.925729;106.915138;47.925729,106.915138;9KMynvKpYPU
Huushuur Set;3-4person ;$10,46;15.jpg;Modern Nomads;10AM-11.30PM;+976 11 31 8744;47.925729;106.915138;47.925729,106.915138;9KMynvKpYPU
Lamb Set;4-6person;$16,76;16.jpg;Modern Nomads;10AM-11.30PM;+976 11 31 8744;47.925729;106.915138;47.925729,106.915138;9KMynvKpYPU
Fried beef;1person;$3,78;50.jpg;Modern Nomads;10AM-11.30PM;+976 11 31 8744;47.925729;106.915138;47.925729,106.915138;9KMynvKpYPU
Fried chicken;1person;$3,36;51.jpg;Modern Nomads;10AM-11.30PM;+976 11 31 8744;47.925729;106.915138;47.925729,106.915138;9KMynvKpYPU
Huushuur;1person;$2,94;52.jpg;Modern Nomads;10AM-11.30PM;+976 11 31 8744;47.925729;106.915138;47.925729,106.915138;9KMynvKpYPU
Pork;1person;$3,36;53.jpg;Modern Nomads;10AM-11.30PM;+976 11 31 8744;47.925729;106.915138;47.925729,106.915138;9KMynvKpYPU
Tsuiwan;1person;$2,94;54.jpg;Modern Nomads;10AM-11.30PM;+976 11 31 8744;47.925729;106.915138;47.925729,106.915138;9KMynvKpYPU
Fried rise;1person;$2,94;55.jpg;Modern Nomads;10AM-11.30PM;+976 11 31 8744;47.925729;106.915138;47.925729,106.915138;9KMynvKpYPU
Soup;1person;$2,94;56.jpg;Modern Nomads;10AM-11.30PM;+976 11 31 8744;47.925729;106.915138;47.925729,106.915138;9KMynvKpYPU
Bibmbap;1person;$5,13;30.jpg;Sura Korean;11AM-11PM;97 677 120 060;47.921610;106.920956;47.921610,106.920956;CXJ9mPsn3Kg
Samgaten;1person;$10,17;31.jpg;Sura Korean;11AM-11PM;97 677 120 060;47.921611;106.920956;47.921611,106.920956;CXJ9mPsn3Kg
Chembuggan;1person;$5,55;32.jpg;Sura Korean;11AM-11PM;97 677 120 060;47.921611;106.920956;47.921611,106.920956;CXJ9mPsn3Kg
Sollontan;1person;$5,55;33.jpg;Sura Korean;11AM-11PM;97 677 120 060;47.921611;106.920956;47.921611,106.920956;CXJ9mPsn3Kg
Kimbab;1person;$2,94;34.jpg;Sura Korean;11AM-11PM;97 677 120 060;47.921611;106.920956;47.921611,106.920956;CXJ9mPsn3Kg
Alibab;1person;$5,55;35.jpg;Sura Korean;11AM-11PM;97 677 120 060;47.921611;106.920956;47.921611,106.920956;CXJ9mPsn3Kg
Juggejan;1person;$5,13;36.jpg;Sura Korean;11AM-11PM;97 677 120 060;47.921611;106.920956;47.921611,106.920956;CXJ9mPsn3Kg
Spicy chicken;2person;$12,69;20.jpg;Yu Long Chinese;11AM-10PM;97 670 103 993;47.924755;106.901025;47.924755,106.901025;Vy4waCfGDe0
Soy rice;1person;$4,12;21.jpg;Yu Long Chinese;11AM-10PM;97 670 103 993;47.924755;106.901025;47.924755,106.901025;Vy4waCfGDe1
Fried dumpling;1person;$4,54;22.jpg;Yu Long Chinese;11AM-10PM;97 670 103 993;47.924755;106.901025;47.924755,106.901025;Vy4waCfGDe2
Set1;1person;$7,23;23.jpg;Yu Long Chinese;11AM-10PM;97 670 103 993;47.924755;106.901025;47.924755,106.901025;Vy4waCfGDe3
Set2;1person;$7,23;24.jpg;Yu Long Chinese;11AM-10PM;97 670 103 993;47.924755;106.901025;47.924755,106.901025;Vy4waCfGDe4
Set3;1person;$7,23;25.jpg;Yu Long Chinese;11AM-10PM;97 670 103 993;47.924755;106.901025;47.924755,106.901025;Vy4waCfGDe5
Set4;1person;$7,23;26.jpg;Yu Long Chinese;11AM-10PM;97 670 103 993;47.924755;106.901025;47.924755,106.901025;Vy4waCfGDe6
Cappuchino;1person;$2,10;40.jpg;Tom n Toms ;10AM-10PM;97 670 111 695;47.918036;106.920251;47.918036,106.920251;BsB2CsRJk1c
Americano;1person;$2,10;41.jpg;Tom n Toms ;10AM-10PM;97 670 111 695;47.918036;106.920251;47.918036,106.920251;BsB2CsRJk1c
Latte;1person;$2,10;42.jpg;Tom n Toms ;10AM-10PM;97 670 111 695;47.918036;106.920251;47.918036,106.920251;BsB2CsRJk1c
Green tea;1person;$2,10;43.jpg;Tom n Toms ;10AM-10PM;97 670 111 695;47.918036;106.920251;47.918036,106.920251;BsB2CsRJk1c
Hot chocolate;1person;$2,10;44.jpg;Tom n Toms ;10AM-10PM;97 670 111 695;47.918036;106.920251;47.918036,106.920251;BsB2CsRJk1c
Mango smootie;1person;$2,94;45.jpg;Tom n Toms ;10AM-10PM;97 670 111 695;47.918036;106.920251;47.918036,106.920251;BsB2CsRJk1c
Rasberry smootie;1person;$2,94;46.jpg;Tom n Toms ;10AM-10PM;97 670 111 695;47.918036;106.920251;47.918036,106.920251;BsB2CsRJk1c
